split,mean_time,sd_time,std_err_time,mean_accuracy,sd_accuracy,std_err_accuracy
0.1,35.40625,0.0,0.0,0.9733096085409253,0.0,0.0
0.2,66.3125,0.0,0.0,0.978,0.0,0.0
